"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030089","GO:0030089","phycobilisome","13/131","16/1033",5.09331672588206e-10,3.2087895373057e-08,3.10960389580168e-08,"2607587995/2607589644/K02092/K02093/K02096/K02097/K02284/K02285/K02290/K05376/K05377/K05378/K05380",13
"GO:0009523","GO:0009523","photosystem II","9/131","18/1033",0.000116395394867138,0.00366645493831486,0.00355312258015475,"2607587007/K02704/K02709/K02712/K02719/K02720/K02723/K02724/K08902",9
"GO:0031676","GO:0031676","plasma membrane-derived thylakoid membrane","15/131","54/1033",0.00174046115034498,0.0365496841572447,0.0354199111298278,"2607587007/K02110/K02112/K02115/K02634/K02636/K02689/K02690/K02693/K02709/K02712/K02719/K02720/K02723/K05573",15
