"","x"
"1","2607584640"
"2","2607584980"
"3","2607585012"
"4","2607585036"
"5","2607585115"
"6","2607585241"
"7","2607585267"
"8","2607585373"
"9","2607585711"
"10","2607585726"
"11","2607585728"
"12","2607585995"
"13","2607586088"
"14","2607586187"
"15","2607586237"
"16","2607586462"
"17","2607586667"
"18","2607586693"
"19","2607586707"
"20","2607586724"
"21","2607586751"
"22","2607586754"
"23","2607586755"
"24","2607586772"
"25","2607586939"
"26","2607587066"
"27","2607587165"
"28","2607587273"
"29","2607587489"
"30","2607587593"
"31","2607587643"
"32","2607587645"
"33","2607587701"
"34","2607587804"
"35","2607587914"
"36","2607588016"
"37","2607588220"
"38","2607588246"
"39","2607588249"
"40","2607588275"
"41","2607588280"
"42","2607588336"
"43","2607588441"
"44","2607588549"
"45","2607588713"
"46","2607588845"
"47","2607588903"
"48","2607589112"
"49","2607589137"
"50","2607589138"
"51","2607589139"
"52","2607589145"
"53","2607589201"
"54","2607589202"
"55","2607589282"
"56","2607589316"
"57","2607589409"
"58","2607589508"
"59","2607589896"
"60","2607589918"
"61","K00720"
"62","K00864"
"63","K01322"
"64","K01866"
"65","K01878"
"66","K01889"
"67","K02034"
"68","K02837"
"69","K03179"
"70","K03428"
"71","K03642"
"72","K03671"
"73","K04077"
"74","K04078"
"75","K05383"
"76","K06381"
"77","K06889"
"78","K07089"
"79","K09800"
"80","K10532"
"81","K10541"
"82","K10542"
"83","K13799"
"84","K18890"
