"","gene_id","supraL_FC"
"1","2607584613",-0.703542528161858
"2","2607584645",-1.19243811548188
"3","2607584657",-0.263373615506442
"4","2607584665",-0.521920660392996
"5","2607584698",-1.03341907288379
"6","2607584700",-3.01651602034355
"7","2607584716",-0.338322464679523
"8","2607584722",-0.840854285783298
"9","2607584739",-0.535658828741012
"10","2607584750",-0.425700084575156
"11","2607584757",-0.551972318955116
"12","2607584766",-0.848682729460015
"13","2607584774",-1.46948419173983
"14","2607584776",-0.929404354220891
"15","2607584778",-0.828486880993397
"16","2607584786",-0.511830218572775
"17","2607584793",-0.406510256881446
"18","2607584800",-0.678311638738479
"19","2607584801",-1.47929618414606
"20","2607584860",-3.42586311023778
"21","2607584862",-1.45443735932686
"22","2607584890",-0.837641850588129
"23","2607584897",-1.53829892782039
"24","2607584908",-1.10548152419234
"25","2607584941",-2.52040129019696
"26","2607584986",-1.16767463257372
"27","2607585000",-0.669983413353987
"28","2607585018",-1.22245749997587
"29","2607585028",-0.552919499670441
"30","2607585032",-0.31941153608982
"31","2607585036",-1.83374109715213
"32","2607585049",-0.690997085532858
"33","2607585073",-0.66648976694581
"34","2607585097",-0.850773664187004
"35","2607585105",-0.803969640435089
"36","2607585123",-0.80393358273814
"37","2607585145",-0.656774374859603
"38","2607585146",-0.528006713619863
"39","2607585173",-1.26254973348595
"40","2607585174",-1.85297420253787
"41","2607585212",-1.08056338291103
"42","2607585217",-1.49229828374632
"43","2607585234",-0.66995752685441
"44","2607585235",-1.28042699304184
"45","2607585239",-0.504438336450286
"46","2607585240",-1.11630892560788
"47","2607585241",-2.00517027294769
"48","2607585245",-2.20117443456251
"49","2607585254",-1.01356753700808
"50","2607585259",-0.837958389800193
"51","2607585267",-1.59181653299386
"52","2607585271",-0.698273210145483
"53","2607585274",-0.762646803175712
"54","2607585275",-0.386092601775175
"55","2607585288",-0.678671985801768
"56","2607585312",-1.43962952332825
"57","2607585324",-0.394670312657023
"58","2607585373",-2.12939974402575
"59","2607585382",-0.612406648568384
"60","2607585409",-1.28005085716886
"61","2607585448",-0.901842609785646
"62","2607585469",-0.430627229536997
"63","2607585519",-0.67073203687448
"64","2607585528",-0.685139123033685
"65","2607585607",-0.703697958314084
"66","2607585628",-1.0625894636576
"67","2607585637",-0.514288317814816
"68","2607585686",-0.801667797759147
"69","2607585701",-0.936508915127349
"70","2607585711",-1.38273298841928
"71","2607585713",-0.367248151156814
"72","2607585714",-0.841843574379501
"73","2607585732",-0.85672816407921
"74","2607585740",-1.1561529418095
"75","2607585765",-1.59456060540494
"76","2607585794",-0.964506043307937
"77","2607585799",-1.00031479136157
"78","2607585800",-0.78845559627753
"79","2607585876",-1.06171859337794
"80","2607585879",-0.559492573687459
"81","2607585992",-0.372390898399494
"82","2607585993",-0.408439109715746
"83","2607585995",-0.328376817473132
"84","2607586073",-1.45027265137901
"85","2607586095",-0.814179497305919
"86","2607586108",-0.530464047850784
"87","2607586137",-0.966435266555559
"88","2607586138",-0.654970734001145
"89","2607586165",-1.07474268957288
"90","2607586219",-0.873476970475095
"91","2607586265",-0.644438911542808
"92","2607586302",-3.27837885910152
"93","2607586304",-4.25562903980562
"94","2607586305",-3.77469111558895
"95","2607586306",-2.05267387058319
"96","2607586307",-2.32503931162291
"97","2607586311",-2.24078703899294
"98","2607586312",-0.866016715594444
"99","2607586313",-0.841721775063471
"100","2607586319",-1.00201458169616
"101","2607586332",-0.538072703488636
"102","2607586333",-0.630555563487427
"103","2607586334",-0.896984900493358
"104","2607586335",-0.654205078245505
"105","2607586336",-0.786053042675247
"106","2607586337",-1.64071304360303
"107","2607586364",-0.568117312304501
"108","2607586368",-2.26729209743439
"109","2607586385",-0.733708477744003
"110","2607586399",-0.747469928387347
"111","2607586423",-0.74644136153915
"112","2607586442",-0.399616991315282
"113","2607586462",-1.83364791344715
"114","2607586502",-0.817174468918178
"115","2607586513",-1.00018150540165
"116","2607586526",-0.900442100494332
"117","2607586536",-2.41161538426751
"118","2607586541",-1.6408366183335
"119","2607586565",-0.979379028034253
"120","2607586569",-0.690437968235041
"121","2607586578",-0.313535498154013
"122","2607586582",-0.500593818268658
"123","2607586589",-0.522934228185003
"124","2607586595",-1.59395453317668
"125","2607586636",-2.99093979034465
"126","2607586638",-1.59500626275892
"127","2607586639",-2.83059357644037
"128","2607586647",-0.664161332346371
"129","2607586652",-2.55482074703202
"130","2607586655",-0.943135675994646
"131","2607586657",-0.707025809969387
"132","2607586659",-1.61376517458627
"133","2607586660",-1.62270123605755
"134","2607586668",-0.6082415377978
"135","2607586672",-0.597955068312338
"136","2607586688",-1.26853630213626
"137","2607586702",-1.79446414158083
"138","2607586706",-0.647836662610523
"139","2607586707",-1.38082523981185
"140","2607586724",-0.565973315273253
"141","2607586729",-1.34691482786449
"142","2607586732",-1.2350104394908
"143","2607586754",-1.67980776072611
"144","2607586756",-0.680729046628064
"145","2607586762",-1.87607782952348
"146","2607586764",-3.30708977106785
"147","2607586790",-0.65957664876023
"148","2607586816",-1.17091549820238
"149","2607586817",-1.33003103640431
"150","2607586839",-1.1682275635354
"151","2607586840",-1.62394433662873
"152","2607586866",-0.799941227058528
"153","2607586872",-1.13901001647025
"154","2607586878",-0.657511618522636
"155","2607586887",-0.453796277767746
"156","2607586910",-0.713202742880384
"157","2607586936",-0.546704666684594
"158","2607586937",-1.23672199453692
"159","2607586938",-0.465930268553698
"160","2607586978",-1.84573983368659
"161","2607586991",-2.12595625497606
"162","2607586992",-3.96417140031246
"163","2607587007",-0.790144530589671
"164","2607587010",-1.15980876839934
"165","2607587014",-0.720168176903254
"166","2607587045",-0.67818702063691
"167","2607587054",-1.24141682059356
"168","2607587066",-0.635060812779439
"169","2607587077",-0.711361989103994
"170","2607587085",-1.01541417063905
"171","2607587094",-0.944947964856499
"172","2607587097",-1.21942470218882
"173","2607587099",-0.391611870924097
"174","2607587110",-1.53347322363913
"175","2607587111",-0.972159473391935
"176","2607587123",-0.725290411566581
"177","2607587132",-1.7664497558073
"178","2607587136",-0.578345541938131
"179","2607587164",-0.858813416699067
"180","2607587165",-1.87877456436345
"181","2607587185",-0.735759081186276
"182","2607587201",-2.02201202968528
"183","2607587234",-0.610189788671353
"184","2607587235",-0.29208531688889
"185","2607587237",-1.07280167955104
"186","2607587241",-0.482490781522124
"187","2607587242",-0.52107754143346
"188","2607587246",-0.460305276559913
"189","2607587247",-0.477457241432054
"190","2607587255",-0.333963078551663
"191","2607587267",-1.12877032487307
"192","2607587268",-1.21243812486433
"193","2607587284",-0.516533424122074
"194","2607587302",-0.928873887550232
"195","2607587304",-2.83223232063094
"196","2607587329",-0.595527102522048
"197","2607587331",-0.764859961722067
"198","2607587332",-1.07636575475377
"199","2607587338",-0.492544671680007
"200","2607587340",-0.541870942314565
"201","2607587353",-0.790044600812734
"202","2607587418",-0.71635193503162
