"","gene_id","optL_FC"
"1","2607584603",-0.838379039751225
"2","2607584613",-0.947543893651905
"3","2607584618",-1.64158753993693
"4","2607584631",-2.24787322434053
"5","2607584657",-0.32187022599273
"6","2607584672",-0.479201148209715
"7","2607584684",-3.73675114328608
"8","2607584691",-3.04171804118441
"9","2607584694",-0.841678868022792
"10","2607584733",-2.68083497890877
"11","2607584736",-0.699043154519797
"12","2607584739",-0.709076873340551
"13","2607584745",-1.05149711867727
"14","2607584748",-1.70173667206747
"15","2607584757",-0.816896228918696
"16","2607584758",-0.673779175838729
"17","2607584759",-0.387396247728564
"18","2607584761",-4.27379885540193
"19","2607584766",-1.45508479613479
"20","2607584770",-1.4263853450888
"21","2607584774",-1.26239321601092
"22","2607584786",-0.817769109185905
"23","2607584795",-0.954610275385865
"24","2607584801",-2.27493900133249
"25","2607584805",-0.425699225104591
"26","2607584806",-1.00504212095931
"27","2607584809",-1.11926082013401
"28","2607584811",-0.574466428091118
"29","2607584820",-1.55327932947567
"30","2607584832",-1.06626025176652
"31","2607584838",-1.22671932879149
"32","2607584845",-2.22422090165764
"33","2607584858",-1.98797214187838
"34","2607584872",-0.628914709398938
"35","2607584897",-0.685578128978586
"36","2607584908",-0.528806723874451
"37","2607584940",-0.923699137400706
"38","2607584946",-0.831545218423852
"39","2607584950",-2.75900556924447
"40","2607585000",-1.57165749978361
"41","2607585032",-0.778960062402052
"42","2607585034",-2.10116275029487
"43","2607585049",-0.855202356573355
"44","2607585063",-0.639790390706561
"45","2607585065",-0.793607118816847
"46","2607585073",-0.572640068974996
"47","2607585074",-3.83094793772261
"48","2607585087",-3.10322795771036
"49","2607585094",-3.34879032928612
"50","2607585097",-0.473197061002529
"51","2607585110",-1.67983309857635
"52","2607585113",-1.12614137906106
"53","2607585116",-0.960796212781408
"54","2607585131",-1.37853938447541
"55","2607585138",-1.03632068757299
"56","2607585145",-0.920535147047683
"57","2607585146",-0.310014090352243
"58","2607585176",-2.95511375932582
"59","2607585186",-1.2417478170775
"60","2607585196",-0.722272509201387
"61","2607585235",-2.35631684243218
"62","2607585245",-2.49196514915211
"63","2607585246",-2.05542827815886
"64","2607585253",-1.16118611434642
"65","2607585254",-1.65697318835879
"66","2607585255",-1.42973461254944
"67","2607585259",-0.701641038475423
"68","2607585263",-2.43892312020718
"69","2607585264",-2.46112075296746
"70","2607585265",-4.14852801935683
"71","2607585266",-1.92082494767195
"72","2607585271",-0.858033623658586
"73","2607585274",-2.08636356343227
"74","2607585288",-0.77776808418564
