"","gene_id","subL_FC"
"1","2641943206",-0.544066182998063
"2","2641943208",-1.15591626298826
"3","2641943213",-1.16116971654444
"4","2641943242",-0.383573802252284
"5","2641943249",-0.964141107201179
"6","2641943277",-0.608549642328196
"7","2641943320",-1.03632582208341
"8","2641943321",-2.30696904190969
"9","2641943357",-0.974860590091025
"10","2641943407",-0.858579201927667
"11","2641943420",-2.47934361274335
"12","2641943458",-0.279491306074907
"13","2641943480",-0.522380666135019
"14","2641943481",-1.34081424325728
"15","2641943484",-1.44038785952779
"16","2641943485",-0.743158848325143
"17","2641943486",-0.745967059611674
"18","2641943507",-0.489766632391483
"19","2641943510",-1.05962500299088
"20","2641943511",-0.826243849107193
"21","2641943526",-0.663749238689645
"22","2641943557",-1.61100301754388
"23","2641943566",-0.64651698018516
"24","2641943571",-1.47939770799272
"25","2641943572",-2.0276051288451
"26","2641943587",-0.717476252743877
"27","2641943590",-1.0264824707622
"28","2641943594",-1.03608369492044
"29","2641943617",-0.710680230494951
"30","2641943675",-1.55275588227479
"31","2641943680",-0.755289559466667
"32","2641943716",-1.66677713825824
"33","2641943746",-2.1453270602521
"34","2641943784",-0.792373527659425
"35","2641943794",-1.20649192705534
"36","2641943800",-0.693137501015434
"37","2641943807",-0.439804429700511
"38","2641943808",-0.643398749238964
"39","2641943834",-3.17873528036109
"40","2641943866",-2.22803563961518
"41","2641943903",-0.492060688034148
"42","2641943919",-0.955848729824228
"43","2641943921",-0.752051180961803
"44","2641943943",-1.56106042392909
"45","2641943944",-0.550919580981759
"46","2641943951",-1.18791108000179
"47","2641943991",-1.22404142182972
"48","2641944002",-1.0902708243076
"49","2641944021",-1.06077447401644
"50","2641944025",-1.47652685647623
"51","2641944045",-0.707261420576669
"52","2641944047",-3.27546878020736
"53","2641944062",-1.4759894529524
"54","2641944068",-0.829282569771904
"55","2641944087",-1.35861877279473
"56","2641944136",-0.937058403139874
"57","2641944175",-0.704198565963913
"58","2641944176",-0.5203939547825
"59","2641944179",-0.77193031451988
"60","2641944180",-0.754980435837995
"61","2641944186",-0.691199336209646
"62","2641944197",-1.15689960127033
"63","2641944206",-0.604330080677051
"64","2641944270",-2.99461285795132
"65","2641944278",-1.11561470433662
"66","2641944280",-0.96229435556162
"67","2641944305",-0.561715452127493
"68","2641944325",-0.868875714359145
"69","2641944369",-0.504084441800163
"70","2641944411",-0.871323447351086
"71","2641944421",-2.59036045597099
"72","2641944422",-1.14730679711137
"73","2641944492",-0.618693333671858
"74","2641944493",-0.721625352386826
"75","2641944496",-1.07014446957572
"76","2641944508",-0.768954761137402
"77","2641944525",-1.13759938418071
"78","2641944555",-1.40746161059477
"79","2641944579",-1.08129774654574
"80","2641944591",-1.608283014492
"81","2641944609",-1.2374989051797
"82","2641944615",-1.3926538762961
"83","2641944647",-1.55918732890183
"84","2641944651",-1.51956989496999
"85","2641944664",-0.693246874366501
"86","2641944705",-0.93188231528926
"87","2641944756",-0.443344522871613
"88","2641944761",-0.4209097559101
"89","2641944765",-0.763083593588544
"90","2641944821",-2.39384991483898
"91","2641944824",-1.13840396452792
"92","2641944826",-2.14323474023929
"93","2641944830",-1.03550787362036
"94","2641944833",-0.827573146728175
"95","2641944834",-0.77247319197288
"96","2641944873",-1.21088667248375
"97","2641944899",-1.55026363237761
"98","2641944910",-1.22315488449395
"99","2641944936",-1.51228393539556
"100","2641944957",-0.737617597636847
"101","2641944976",-0.603174914878627
"102","2641944980",-1.82664745309679
"103","2641944988",-0.408826187417913
"104","2641945039",-0.44754815778442
"105","2641945119",-0.688523078305643
"106","2641945122",-1.29732882700489
"107","2641945124",-0.611397475194765
"108","2641945169",-1.67962915941146
"109","2641945179",-1.12053476269388
"110","2641945185",-2.78082530286573
"111","2641945193",-1.15027381709803
"112","2641945217",-0.692234255063963
"113","2641945229",-2.31526941601458
"114","2641945239",-0.611567069606158
"115","2641945257",-0.960999327749382
"116","2641945258",-0.880372771610833
"117","2641945260",-2.06160191357889
"118","2641945266",-0.659208294200507
"119","2641945304",-2.38010494369845
"120","2641945357",-0.895223457830756
"121","2641945433",-0.756322482928669
"122","2641945475",-0.975829371975996
"123","2641945478",-1.00442582881567
"124","2641945480",-2.06885666829449
"125","2641945482",-1.05777988466124
"126","2641945499",-0.840617930315406
"127","2641945501",-1.19375376722897
"128","2641945502",-1.65598557050073
"129","2641945512",-0.509311306056315
"130","2641945536",-1.41542871067852
"131","2641945551",-0.565415510158869
"132","2641945574",-0.549365328542719
"133","2641945575",-1.0499861032707
"134","2641945577",-2.25661811178286
"135","2641945578",-0.953859353729377
"136","2641945606",-0.762678800833384
"137","2641945628",-1.90621329061616
"138","2641945629",-1.14272362148172
"139","2641945634",-1.0722839403384
"140","2641945666",-1.93400267038777
"141","2641945678",-0.772827483001828
"142","2641945696",-1.15418589751362
"143","2641945702",-0.661597615122081
"144","2641945752",-1.1478075453243
"145","2641945754",-2.16715683481303
"146","2641945788",-0.9639757415346
"147","2641945791",-0.951433806301884
"148","2641945794",-1.00626759107147
"149","2641945796",-0.498547935754442
"150","2641945818",-1.00873990299896
"151","2641945825",-1.9660390121473
"152","2641945828",-1.57324337567578
"153","2641945845",-0.688258630394378
"154","2641945851",-0.980938561615719
"155","2641945852",-1.05264061790057
"156","2641945858",-1.60177484196888
"157","2641945865",-0.69871283612709
"158","2641945887",-0.605778564515386
"159","2641945888",-1.61406680866305
"160","2641945889",-0.82221601377968
"161","2641945890",-0.999640985022037
"162","2641945893",-0.832425114066806
"163","2641945903",-1.13869630362249
"164","2641945934",-1.81305584049874
"165","2641945935",-2.1721900381382
"166","2641945936",-1.48916212960645
"167","2641945937",-2.1653126237817
"168","2641945938",-2.04374582414205
"169","2641945956",-1.12874563505928
"170","2641945967",-1.49192309852588
"171","2641945971",-0.741609186120909
"172","2641945978",-0.34502298585205
"173","2641946001",-0.45363257976122
"174","2641946006",-3.73327416144128
"175","2641946010",-0.49895865026187
