"","gene_id","optR_FC"
"1","2607584698",-0.670136999934091
"2","2607584702",-0.613011854810157
"3","2607584707",-0.83288213060855
"4","2607584778",-0.852265836654976
"5","2607584793",-1.43334011934295
"6","2607584797",-0.608877996533463
"7","2607584801",-0.880180537373888
"8","2607584805",-0.249057106317374
"9","2607584823",-0.437671759506539
"10","2607584890",-0.727518640510815
"11","2607584917",-0.316186940701879
"12","2607584988",-0.780898884754115
"13","2607585004",-0.52879240666699
"14","2607585123",-0.372744908391129
"15","2607585143",-0.658523768322881
"16","2607585208",-0.665631950622162
"17","2607585212",-0.658914605207464
"18","2607585232",-0.725721634500146
"19","2607585312",-0.610704473646873
"20","2607585317",-0.676303086180845
"21","2607585318",-0.510077083853594
"22","2607585319",-0.726033252887509
"23","2607585330",-0.616456674271363
"24","2607585415",-0.651153801061489
"25","2607585493",-1.43153764858028
"26","2607585637",-0.500533891263631
"27","2607585657",-1.46103575735104
"28","2607585668",-0.39354225025568
"29","2607585674",-0.535783448435164
"30","2607585686",-0.381996840659749
"31","2607585713",-0.545694511992175
"32","2607585714",-0.889907466451992
"33","2607585997",-1.18182847403285
"34","2607586141",-0.420596531293914
"35","2607586142",-1.04269114089397
"36","2607586191",-0.386153656676624
"37","2607586314",-0.557266333014087
"38","2607586364",-0.871623303902941
"39","2607586365",-0.734370072391854
"40","2607586450",-0.782601333162456
"41","2607586499",-0.850096498488762
"42","2607586505",-0.498361836976732
"43","2607586562",-0.481951792269768
"44","2607586574",-0.469362519759938
"45","2607586588",-0.986418702525836
"46","2607586776",-1.00698456778029
"47","2607586808",-0.592856083883404
"48","2607586910",-0.531644935440101
"49","2607586912",-0.438478442054059
"50","2607586924",-0.664688272692942
"51","2607586938",-0.386796781315696
"52","2607586940",-0.355794535559356
"53","2607587038",-0.831604512013653
"54","2607587040",-2.00860505847005
"55","2607587041",-0.645399226992182
"56","2607587043",-0.491308791771132
"57","2607587044",-0.495154421571823
"58","2607587047",-0.5006899572967
"59","2607587054",-0.452830471813867
"60","2607587085",-0.322909610789064
"61","2607587201",-2.1524715396823
"62","2607587268",-0.767428224922604
"63","2607587284",-0.791648732175955
"64","2607587304",-0.990209156017759
"65","2607587312",-0.819064339577772
"66","2607587325",-0.452721822328671
"67","2607587338",-0.659754863678787
"68","2607587339",-0.542951676465007
"69","2607587347",-0.875108682782952
"70","2607587389",-0.892163049691218
"71","2607587445",-0.824471422555236
"72","2607587530",-0.500050342916767
"73","2607587549",-0.85775336096988
"74","2607587559",-0.937010082803628
"75","2607587571",-0.679139025081803
"76","2607587573",-1.51034400107443
"77","2607587596",-1.09164371204245
"78","2607587716",-0.388317428428793
"79","2607587723",-1.01019357574808
"80","2607587782",-0.377230204568803
"81","2607587900",-0.758868475424512
"82","2607587964",-0.638436242193633
"83","2607587992",-0.519945313145003
"84","2607588018",-0.975729894929293
"85","2607588022",-0.554160582981463
"86","2607588031",-0.673455372772238
"87","2607588070",-0.46456417521716
"88","2607588093",-0.792122397097782
"89","2607588227",-1.2245364730205
"90","2607588236",-0.896807013430817
"91","2607588255",-0.606201480952414
"92","2607588277",-0.552259225588331
"93","2607588299",-0.655715476887783
"94","2607588390",-0.342809806070601
"95","2607588404",-0.514719328130517
"96","2607588407",-0.749204707248838
"97","2607588441",-0.911710054130698
