"","gene_id","supraR_FC"
"1","2641943192",-0.777432742202162
"2","2641943213",-1.05475447627107
"3","2641943244",-0.738340096296926
"4","2641943263",-1.05351384921821
"5","2641943275",-0.556242159545375
"6","2641943277",-0.792735066553216
"7","2641943280",-0.566392257639559
"8","2641943302",-0.432306713556
"9","2641943350",-0.955090627406051
"10","2641943393",-0.70589055395289
"11","2641943420",-0.709721798973986
"12","2641943438",-1.2891728145315
"13","2641943439",-1.36554990553318
"14","2641943477",-0.501495649074328
"15","2641943480",-0.330181363781738
"16","2641943481",-0.950670926871644
"17","2641943482",-0.928840639429772
"18","2641943484",-1.03493277227437
"19","2641943485",-1.07721358966186
"20","2641943486",-0.897414220800783
"21","2641943491",-1.05172851025924
"22","2641943507",-0.982224005160411
"23","2641943510",-1.26814437613763
"24","2641943511",-1.47575633426006
"25","2641943523",-1.36735402202213
"26","2641943571",-1.04552386708896
"27","2641943572",-1.42840036787881
"28","2641943573",-0.97002334182956
"29","2641943594",-0.569514355005954
"30","2641943603",-0.517061490741458
"31","2641943605",-0.70088123593875
"32","2641943616",-0.587493011523039
"33","2641943617",-0.846775087057944
"34","2641943618",-0.958826404906149
"35","2641943622",-0.543009965449944
"36","2641943645",-1.24374439194432
"37","2641943646",-1.24861838938191
"38","2641943675",-1.30862778087084
"39","2641943706",-0.439970851810448
"40","2641943741",-1.20221382950944
"41","2641943794",-0.59079480597049
"42","2641943798",-1.07835284086124
"43","2641943800",-0.537546548504778
"44","2641943805",-0.70902626242259
"45","2641943842",-1.31554463311923
"46","2641943847",-0.971726229197754
"47","2641943851",-0.388049933234314
"48","2641943854",-1.29959612695006
"49","2641943857",-0.479917375474436
"50","2641943859",-0.653840947264611
"51","2641943885",-0.707851743725911
"52","2641943886",-0.608545327818698
"53","2641943919",-0.547981409379913
"54","2641943979",-1.68045727745732
"55","2641943980",-2.91828794033669
"56","2641944002",-0.469529669687859
"57","2641944062",-0.655672369396081
"58","2641944068",-0.673230488623518
"59","2641944093",-0.835844149624657
"60","2641944097",-4.00871098223569
"61","2641944098",-1.07330185134774
"62","2641944109",-1.2061849333108
"63","2641944120",-0.511038168583439
"64","2641944136",-0.759591727155109
"65","2641944137",-0.841200739985935
"66","2641944160",-0.546401284206492
"67","2641944191",-0.709707984120601
"68","2641944197",-1.08404175100119
"69","2641944248",-0.608846806834906
"70","2641944249",-0.726193755427843
"71","2641944268",-0.666614145481543
"72","2641944305",-0.924564008273918
"73","2641944346",-0.584024181420777
"74","2641944361",-0.398476595103576
"75","2641944368",-0.480862569093843
"76","2641944369",-0.56833061919595
"77","2641944372",-0.817947752017375
"78","2641944373",-0.557217869012643
"79","2641944421",-0.742780700592973
"80","2641944422",-0.86190127642791
"81","2641944427",-3.05875001841055
"82","2641944434",-0.632872678300008
"83","2641944435",-0.699729481250838
"84","2641944472",-0.643945047633949
"85","2641944492",-0.624185827601924
"86","2641944493",-0.727554358193903
"87","2641944497",-1.26387643944357
"88","2641944522",-0.842902201425192
"89","2641944524",-0.479128197827084
"90","2641944525",-1.76509617687136
"91","2641944646",-0.440299248681331
"92","2641944647",-1.78726181047397
"93","2641944664",-0.697011760859664
"94","2641944673",-0.991243702178174
"95","2641944686",-0.424082846769557
"96","2641944702",-0.724897597438782
"97","2641944722",-0.705542443709456
"98","2641944752",-2.83995250746257
"99","2641944782",-1.17160792417162
"100","2641944830",-0.495643103609476
"101","2641944837",-0.475296315463502
"102","2641944838",-0.362042192711999
"103","2641944900",-0.817292128729602
"104","2641944915",-0.432659738590067
"105","2641944939",-0.676918668150594
"106","2641944976",-0.763688833332082
"107","2641944980",-1.44586544114058
"108","2641944988",-0.345119451888225
"109","2641945020",-0.895840414869136
"110","2641945090",-0.882793426452667
"111","2641945091",-0.66251394712752
"112","2641945092",-0.739099781967498
"113","2641945094",-0.650317396780922
"114","2641945095",-0.947394053503926
"115","2641945109",-0.73290683021208
"116","2641945122",-1.1694337704039
"117","2641945126",-0.807915261680233
"118","2641945134",-1.10159663347765
"119","2641945135",-1.10476060685963
"120","2641945159",-1.47803545612011
"121","2641945160",-1.91596060505491
"122","2641945161",-1.21275990917254
