"","x"
"1","2607584707"
"2","2607584793"
"3","2607584988"
"4","2607585143"
"5","2607585330"
"6","2607585415"
"7","2607585674"
"8","2607586314"
"9","2607586499"
"10","2607586505"
"11","2607586776"
"12","2607586808"
"13","2607587038"
"14","2607587040"
"15","2607587041"
"16","2607587043"
"17","2607587044"
"18","2607587047"
"19","2607587201"
"20","2607587347"
"21","2607587559"
"22","2607587716"
"23","2607587723"
"24","2607587782"
"25","2607587964"
"26","2607588277"
"27","2607588441"
"28","2607588602"
"29","2607588774"
"30","2607588923"
"31","2607588924"
"32","2607589046"
"33","2607589092"
"34","2607589093"
"35","2607589131"
"36","2607589187"
"37","2607589487"
"38","2607589622"
"39","2607589735"
"40","2607589852"
"41","K00036"
"42","K00485"
"43","K00640"
"44","K00845"
"45","K00989"
"46","K02002"
"47","K02018"
"48","K02020"
"49","K02585"
"50","K02586"
"51","K02588"
"52","K02591"
"53","K02593"
"54","K02595"
"55","K02596"
"56","K03832"
"57","K04487"
"58","K04651"
"59","K05515"
"60","K08678"
"61","K11209"
"62","K13819"
"63","K17686"
"64","K23548"
"65","K24842"
