gene_id,KO,L22-1,L22-2,L22-3,R22-1,R22-2,R22-3,L27-1,L27-2,L27-3,R27-1,R27-2,R27-3,L32-1,L32-2,L32-3,R32-1,R32-2,R32-3
2641943254,NA,129,61,20,41,74,90,26,8,3,78,75,76,146,117,72,85,68,85
2641943255,K07313,502,182,63,164,197,257,58,31,3,365,299,258,430,408,228,225,278,262
2641943256,K00556,90,30,9,28,32,42,17,9,2,50,34,42,117,97,53,61,46,62
2641943257,K01423,40,22,8,9,23,14,14,5,5,24,18,44,41,36,37,65,46,60
2641943258,NA,170,86,37,96,93,112,48,17,10,275,153,129,196,155,119,124,170,169
2641943259,NA,172,70,36,76,100,100,25,20,8,106,73,57,111,80,61,79,73,77
2641943260,K01649,832,477,238,516,595,486,180,112,53,575,452,450,461,416,356,434,465,413
2641943261,K18802,107,49,31,69,87,128,16,15,4,125,83,75,114,96,57,68,70,61
2641943262,NA,85,48,26,42,49,63,17,18,3,45,49,30,39,52,33,37,34,35
2641943263,NA,85,28,10,50,47,64,17,6,9,133,128,132,136,116,108,131,148,94
2641943264,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943265,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943266,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943267,NA,89,36,17,43,37,40,6,6,0,59,45,40,65,54,42,35,51,34
2641943268,NA,200,92,47,93,102,103,39,11,7,134,95,103,202,165,97,100,101,108
2641943269,NA,7,3,1,9,10,19,1,3,0,33,21,12,31,13,20,19,21,15
2641943270,NA,11,4,0,4,12,7,2,2,0,13,9,10,10,11,6,6,10,7
2641943271,K01838,90,37,26,55,51,46,32,17,13,62,40,54,111,92,49,53,59,47
2641943272,K03147,169,67,42,130,174,168,48,29,8,329,284,335,163,175,120,159,177,110
2641943273,NA,394,161,42,165,227,253,68,58,22,422,356,434,388,336,211,316,254,238
2641943274,K00762,189,66,13,78,97,120,19,8,2,205,141,154,162,113,59,71,88,68
2641943275,NA,432,218,70,202,200,245,78,52,17,481,273,348,462,391,319,333,350,375
2641943276,NA,11,4,4,9,4,6,1,1,1,8,7,4,4,2,2,5,1,8
2641943277,NA,582,297,163,268,354,313,187,91,56,827,545,548,800,664,459,649,615,543
2641943278,K02233,14,6,2,6,10,12,3,0,1,20,11,15,14,16,7,21,13,10
2641943279,NA,382,140,33,200,214,276,52,26,9,392,260,218,379,273,199,216,257,213
2641943280,NA,1025,340,120,288,351,423,91,62,11,929,630,538,1054,817,455,573,646,524
2641943281,K09969,3408,1549,733,1355,1583,1722,616,353,108,3944,2596,2262,4488,3568,2232,2248,2528,2188
2641943282,K09970,134,64,23,59,77,109,17,7,1,199,144,125,253,216,118,125,137,132
2641943283,K09971,78,27,7,30,47,55,9,5,3,121,76,76,115,92,46,46,62,54
2641943284,K02028,114,71,35,57,99,109,43,25,11,200,115,130,188,199,131,160,134,125
2641943285,K07450,46,12,6,17,23,16,2,2,0,60,33,33,68,65,32,45,38,31
2641943286,K07496,56,22,2,44,44,40,10,2,1,116,100,91,154,123,80,115,132,109
2641943287,K03652,4,5,1,1,4,4,1,0,0,4,8,5,11,6,6,5,8,2
2641943288,NA,0,1,0,0,0,0,0,2,2,2,0,0,0,1,0,1,0,0
2641943289,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943290,NA,4,8,0,7,6,9,1,1,0,26,12,17,7,10,16,11,6,4
2641943291,NA,2,0,1,1,4,2,0,0,0,5,4,4,10,9,3,5,1,2
2641943292,NA,4,0,0,3,3,1,1,1,0,2,1,1,4,1,4,1,3,2
2641943293,K00254,58,37,16,27,55,40,17,6,4,65,41,55,37,25,30,40,33,51
2641943294,NA,3,3,0,0,6,1,0,1,0,8,6,5,3,3,1,5,2,4
2641943295,K03748,10,9,0,7,11,13,1,2,1,12,5,5,7,9,5,6,9,8
2641943296,NA,99,39,16,47,58,63,34,11,1,84,69,59,75,63,64,67,62,32
2641943297,NA,29,9,6,21,29,23,5,4,4,33,25,21,32,19,15,15,20,19
2641943298,K01929,241,112,18,118,155,168,30,19,4,222,176,247,307,234,151,174,171,157
2641943299,NA,165,76,24,97,114,131,29,10,7,95,82,100,179,193,94,114,118,115
2641943300,K02970,97,48,13,42,54,76,19,4,1,122,71,88,152,126,91,77,97,75
2641943301,NA,140,51,12,66,83,91,12,17,1,143,97,111,224,143,91,84,92,83
2641943302,NA,4984,1930,750,1945,2316,2607,1010,550,183,6083,3931,3658,6603,5534,3663,3220,3716,3356
2641943303,NA,76,28,4,43,54,49,6,8,2,124,82,68,67,63,31,44,67,54
2641943304,NA,70,38,13,45,68,60,10,6,4,165,98,58,90,89,59,65,65,70
2641943305,NA,97,42,15,53,55,76,12,6,2,120,71,67,80,73,44,60,56,64
2641943306,NA,5,2,0,8,5,14,0,0,0,5,12,17,16,11,2,1,4,0
2641943307,NA,31,11,9,14,26,13,6,6,3,35,31,16,27,22,13,21,15,16
2641943308,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2641943309,NA,18,9,5,18,9,19,4,5,1,18,13,7,14,9,8,14,12,9
2641943310,NA,7,0,0,5,1,10,1,0,0,4,4,1,1,1,0,5,2,6
2641943311,NA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2641943312,NA,12,7,3,13,13,13,0,0,1,21,11,15,35,33,21,22,23,11
2641943313,K00801,284,168,92,230,245,244,86,43,14,361,283,259,315,233,192,198,196,139
2641943314,NA,2,0,1,0,1,0,0,0,0,2,2,4,1,3,2,0,0,0
2641943315,NA,138,98,62,116,143,140,41,29,20,178,119,119,106,93,58,100,89,98
2641943316,NA,78,61,45,77,91,80,37,13,12,118,76,67,64,57,43,81,75,61
2641943317,NA,55,28,1,45,31,51,6,5,0,86,47,56,54,29,17,21,28,30
2641943318,NA,2,1,0,1,3,7,0,0,0,7,4,5,2,4,1,0,0,0
2641943319,K05844,35,6,3,15,15,18,3,3,4,28,31,28,42,29,27,14,27,20
2641943320,NA,305,175,105,319,351,383,139,91,34,601,454,476,552,512,396,447,465,436
2641943321,NA,1,8,0,7,11,10,1,3,4,28,9,5,19,5,12,12,10,7
2641943322,NA,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
2641943323,NA,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
2641943324,NA,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0
2641943325,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2641943326,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943327,NA,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
2641943328,NA,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0
2641943329,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943330,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943331,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943332,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2641943334,NA,10,3,2,3,6,4,0,0,0,4,1,3,3,1,0,1,0,1
2641943335,NA,12,1,1,12,13,14,1,1,1,17,16,6,14,12,9,7,9,9
