"","L22.1","L22.2","L22.3","R22.1","R22.2","R22.3","L27.1","L27.2","L27.3","R27.1","R27.2","R27.3","L32.1","L32.2","L32.3","R32.1","R32.2","R32.3"
"1",10.5182285015098,10.212148257096,9.49089201325109,10.3332037961492,10.450275690038,10.7092941805928,9.00635010104665,8.50248620674245,8.28831988586565,10.5866028861113,10.5892851076671,10.6996860572083,9.54625111411936,9.43970921881034,9.29626565543416,9.70556019144246,10.0362905582442,9.71787857792549
"2",5.69181037778891,5.66810830272922,5.89716311277183,5.71615535742241,5.93763971995261,5.98882889478291,5.50660548717142,5.97650063373882,6.63980358114081,5.73626921738852,5.81242031239468,5.72649831589893,5.77508646017675,5.67629616934022,5.48437981372711,5.59274798787106,5.33406718206947,5.60307362263709
"3",5.50796918765475,4.91036367622123,4.91036367622123,5.15619184004425,5.3663352852577,5.58861802109036,4.91036367622123,5.67261078547542,6.16764481987961,5.87957671583967,5.55332104736045,5.67502607274915,5.34755150185323,5.18394312002531,4.91036367622123,5.34433770620636,5.21050364051556,5.22252808723497
"4",6.94520148465987,6.82951877753284,6.78743338990811,7.26727936369362,7.19329035001087,7.28441450079845,6.61155871259557,6.81031317867126,6.97646507161662,7.16669417668281,7.26541401836169,7.20867496821108,7.43222196292187,7.33931137614174,7.17736620960764,7.14452365501786,6.91372469403259,7.07364899070212
"5",7.51733646568469,7.75608490465708,7.36054804990493,7.7134176007345,7.71117114748187,7.80292601053368,7.53542496216596,7.71769375478805,7.9722236355867,7.4787061489116,7.40581867599097,7.4909821154492,7.65307769176492,7.87476599974695,7.65224651006272,7.41517034535773,7.05559311819038,7.28651033244388
"6",6.93329921767957,7.17048440414318,7.38251013964249,6.98319357834415,6.85742694318753,6.97828779218459,7.69252525136379,7.45344685988912,7.9722236355867,6.80673181616544,7.13488812218391,6.8157116071909,6.79949414252502,6.89103228706239,6.63332578703665,6.7936243730036,6.6348285065496,6.68581495289536
"7",6.20051221240529,6.00150417943743,5.48740968839439,5.84706447607826,5.55257657236635,6.06492577854466,4.91036367622123,5.97650063373882,4.91036367622123,5.73626921738852,5.69466172931044,5.7975849845785,5.70165737632227,5.93219180279744,5.14599160641819,5.59274798787106,5.50745607211377,5.4915713884672
"8",7.23116214682573,7.26689010933542,7.03632065063655,7.17008286512299,7.46084961124118,7.19005337281958,6.20883693525667,6.54572260808709,6.16764481987961,6.89527172513324,6.59944394705972,6.80716478659663,7.3198074743237,7.30894718226583,7.11740148125141,6.8683135181293,6.85400657600655,6.95704102307884
"9",10.1298582540642,9.95712654664569,9.94482268579732,9.76998680317174,9.79001382500293,9.92754087152438,9.57422340921926,9.32864509732672,9.4829519714571,9.79126951295987,9.76750644629942,9.70222098227278,9.76917633520776,9.77810651325245,9.61205065019053,9.50208945630351,9.72802606471473,9.61487059458022
"10",5.53414411879084,5.44921247122968,4.91036367622123,5.64091042853791,5.55257657236635,5.68161725195853,4.91036367622123,4.91036367622123,4.91036367622123,5.40175609092678,5.5841570461574,5.37074870127028,5.22009120474227,5.48772272968191,5.31758378885725,5.59274798787106,5.27762932597636,5.40251256763028
"11",6.82735996227447,6.59076991303113,6.33302689500638,6.65946308304148,6.84728515912798,6.88459590858262,6.52346648979338,4.91036367622123,4.91036367622123,6.36041154322862,6.45042491142171,6.48513324903644,6.54070613617196,6.65100902104421,6.32601355773407,6.25572241645771,6.24063062906316,6.22749097778829
"12",6.42228910253087,5.66810830272922,5.72116791943872,6.08353603086987,6.06859338646537,6.41685804201,5.7477848010277,6.54572260808709,4.91036367622123,6.37812424436953,6.09006366846504,6.01563416951259,6.39552458377978,6.22100506102385,6.23843464072223,5.79450025530665,5.72302710314557,6.16048346625916
"13",6.05611325798471,6.14354756803181,5.72116791943872,5.98598492117402,6.12784747324057,6.10080526466522,5.7477848010277,4.91036367622123,4.91036367622123,5.84985869352933,6.10590686717236,5.8627883641687,6.34901151018963,5.96539484115204,5.68343950070071,5.79450025530665,5.84478329701064,6.25943760765733
"14",5.53414411879084,5.5684387427971,4.91036367622123,5.55614610407372,5.23345234451498,5.43764922437317,4.91036367622123,5.67261078547542,4.91036367622123,5.37029418821376,5.31901174045961,4.91036367622123,5.22009120474227,5.45510103834179,5.48437981372711,5.55832197869402,5.21050364051556,4.91036367622123
"15",7.20714761993421,6.92695452500294,6.82135398544594,7.15161915902692,6.97319776170328,7.34795950489133,7.28484482496226,7.12499705886992,6.97646507161662,7.38775264541039,7.1151435705432,7.1832969572993,7.29349987689338,7.1224763682294,7.21044871262392,7.16630195157874,7.01001503882195,7.01665723971607
"16",8.452035204168,8.24472536478514,7.98893070531972,8.67873304103962,8.68505779096618,8.89467275412163,8.12059605268137,8.17490774433759,7.89948493229978,8.51707118232802,8.51870267279531,8.5893658807398,8.39715624264428,8.50157159966404,8.45205607520253,7.82100749679453,8.17430666309694,8.03536816490102
"17",6.77424041626658,6.5550478098126,5.72116791943872,6.91810182226192,7.07087255474328,7.34173845252705,5.92914940586774,4.91036367622123,4.91036367622123,6.57891708677813,6.79300369506261,6.89812740887031,6.51638170251163,6.53432318319584,6.3427058997972,5.93335777883905,6.14776776980321,6.29044717471889
"18",5.58326783298793,4.91036367622123,4.91036367622123,5.40025793992751,5.46766822237262,5.51811131599876,4.91036367622123,5.67261078547542,4.91036367622123,5.510765262873,4.91036367622123,5.41426749080876,4.91036367622123,5.29668812364471,5.38006626560718,5.34433770620636,5.21050364051556,5.22252808723497
"19",8.60007154289406,8.47907426722541,8.52072772148276,7.7910554577244,7.79883349859844,7.9345965015368,8.5119725758141,8.68021016811837,8.80501090841513,8.12553506657261,8.28673501293449,8.32959893875581,8.90362837315222,8.62237496745859,8.64520583206899,8.43501971755284,8.41620584767229,8.32933352416601
"20",5.55920194394045,5.66810830272922,4.91036367622123,4.91036367622123,5.30565462949924,5.71002026139966,5.50660548717142,4.91036367622123,4.91036367622123,5.53491263483136,5.48637961578316,5.32249126717274,5.08941362716159,5.18394312002531,5.48437981372711,5.71485535112272,5.27762932597636,5.35097808641827
"21",7.3451567877461,7.45914122317787,7.38251013964249,6.80160889163753,7.11295773141918,6.94500699076924,6.97614883092908,6.81031317867126,7.24280564299506,7.13865442142058,7.28305797465718,7.27606676758332,7.28906467581939,6.94617479911605,7.11740148125141,7.18062389095455,6.98661005991808,7.2240306129295
"22",8.77568375712678,8.55069244312912,8.76792870892855,9.09739396017749,8.95866357623937,9.07450443780837,8.7235011382582,8.48517346381609,9.15308459279854,8.00046813861606,7.73170742528857,7.80814022117715,8.66282380890403,8.65592583322748,8.7732994795895,7.73847600086614,8.03581811404882,7.933293681645
"23",5.53414411879084,5.37769180768093,5.48740968839439,5.71615535742241,5.69376068616503,5.76372292346993,4.91036367622123,4.91036367622123,4.91036367622123,5.55810722002657,5.69466172931044,5.64781134390485,5.47335373104021,5.65250506687879,5.48437981372711,5.65652170873979,5.60868710672293,5.60307362263709
"24",5.60644502275311,5.83329310465254,4.91036367622123,5.59992944707713,5.88937882549661,5.73735432421869,5.92914940586774,5.67261078547542,4.91036367622123,5.89405155864151,5.69466172931044,6.01563416951259,5.84213592661956,6.10155612752375,5.57175405960176,5.97506719906401,5.90991225713874,5.85730674942362
"25",6.14287029807675,6.0608662334123,5.72116791943872,6.34734566872133,6.14683249024616,6.00844288279678,6.61155871259557,6.68521246444616,7.24280564299506,6.17580155385319,6.52731594698005,6.5921661355687,6.41359854307181,6.60747450715325,6.68371440912232,6.52576298805976,6.53697546809027,6.16048346625916
"26",4.91036367622123,5.18096005146232,4.91036367622123,5.15619184004425,4.91036367622123,4.91036367622123,4.91036367622123,4.91036367622123,4.91036367622123,5.33643200838003,5.48637961578316,5.20227556321005,5.1634165660759,5.10395825388513,4.91036367622123,4.91036367622123,4.91036367622123,4.91036367622123
