"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko00195","ko00195","Photosynthesis","20/123","48/917",5.3954631386361e-07,3.68050368096927e-05,3.44964295981258e-05,"K02112/K02114/K02115/K02634/K02641/K02642/K02643/K02689/K02690/K02692/K02693/K02700/K02704/K02709/K02712/K02716/K02719/K02720/K02723/K08906",20
"ko00196","ko00196","Photosynthesis - antenna proteins","12/123","20/917",1.00835717286829e-06,3.68050368096927e-05,3.44964295981258e-05,"K02092/K02093/K02094/K02096/K02097/K02284/K02285/K05376/K05377/K05378/K05380/K05383",12
"ko00760","ko00760","Nicotinate and nicotinamide metabolism","6/123","11/917",0.00135166248565871,0.0328904538176952,0.030827390023795,"K00135/K00324/K00325/K00763/K00858/K03517",6
