"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","21/159","47/1076",4.24390547954022e-07,0.000113736666851678,0.000109001361790296,"K02092/K02093/K02096/K02097/K02284/K02285/K02290/K02634/K02693/K02698/K02704/K02705/K02709/K04035/K04039/K05376/K05377/K05378/K05380/K08903/K10960",21
"GO:0015995","GO:0015995","chlorophyll biosynthetic process","9/159","11/1076",1.1577266947367e-06,0.000155135377094718,0.000148676480797766,"K02492/K03403/K03404/K03428/K04035/K04037/K04038/K04039/K10960",9
"GO:0006520","GO:0006520","cellular amino acid metabolic process","26/159","89/1076",0.00018938458075281,0.0169183558805844,0.0162139781416441,"K00052/K00053/K00600/K00609/K00766/K00835/K00928/K01620/K01695/K01696/K01738/K01869/K01870/K01872/K01876/K01889/K01890/K01893/K01940/K01956/K02434/K02492/K04567/K10206/K13821/K25570",26
