"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","6/27","55/1180",0.00107928462687059,0.042890436436573,0.036855369655487,"K02888/K02945/K02952/K02967/K02996/K19032",6
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","3/27","12/1180",0.00205121903500418,0.042890436436573,0.036855369655487,"K02834/K03665/K05808",3
"GO:0044877","GO:0044877","protein-containing complex binding","3/27","13/1180",0.00262594508795345,0.042890436436573,0.036855369655487,"K02834/K03665/K05808",3
