"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009522","GO:0009522","photosystem I","5/23","11/1033",1.46609747490622e-06,3.9584631822468e-05,2.62354284983219e-05,"K02689/K02690/K02691/K02693/K02694",5
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","3/23","12/1033",0.00186408289488517,0.0251651190809498,0.01667863642792,"K02967/K02996/K05808",3
"GO:0009538","GO:0009538","photosystem I reaction center","2/23","5/1033",0.00455591182914907,0.0310110640317843,0.0205531418534243,"K02693/K02694",2
"GO:0005840","GO:0005840","ribosome","5/23","53/1033",0.00488118755820759,0.0310110640317843,0.0205531418534243,"K02888/K02967/K02996/K05808/K19032",5
"GO:1990904","GO:1990904","ribonucleoprotein complex","5/23","55/1033",0.0057427896355156,0.0310110640317843,0.0205531418534243,"K02888/K02967/K02996/K05808/K19032",5
"GO:0015935","GO:0015935","small ribosomal subunit","3/23","20/1033",0.00859283514084794,0.0386677581338157,0.0256277539288448,"K02967/K02996/K05808",3
